ID;locale;status
LR_APPROVED;it;Approvata
LR_DENIED;it;Rifiutata
LR_PENDING;it;In attesa
LR_APPROVED;uk;Затверджено
LR_DENIED;uk;Відмовлено
LR_PENDING;uk;В очікуванні
